T,Uc1,Uc2,Uc_eq
0.02,2.5310344827586206,,
0.02947368421052632,2.5310344827586206,2.0,
0.03894736842105263,2.5310344827586206,2.1448275862068966,
0.04842105263157895,2.5310344827586206,2.0,
0.05789473684210526,2.5310344827586206,2.0,
0.06736842105263158,2.5310344827586206,2.0,
0.0768421052631579,2.5310344827586206,,
0.08631578947368422,2.386206896551724,2.0,
0.09578947368421054,2.5310344827586206,2.2413793103448274,
0.10526315789473685,3.013793103448276,3.3517241379310345,
0.11473684210526316,3.3517241379310345,3.3034482758620687,
0.12421052631578948,,3.4,
0.1336842105263158,,3.4,
0.14315789473684212,,3.4,
0.15263157894736842,,3.4,
0.16210526315789472,,3.4,
0.17157894736842105,,3.4,
0.18105263157894738,,3.3517241379310345,
0.19052631578947368,,3.4,
0.2,,3.4,
